,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
蓝碧源艺术纸价格表,,,,,,,,伯爵是按合作协议价11000/吨的，曼雅高感8800/吨，欧纯棉纸按市场价格7折，其他产品按市场价格75折执行，,,,,,,,,,,
产品系列,产品名称,平台编码,克重,颜色,规格,,"2026年
市场张价",,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-H4301,280,英伦灰,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-Y0101,120,米黄,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-Y0101,180,米黄,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-Y0101,280,米黄,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-C0101,120,棕米,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-C0101,180,棕米,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-C0101,280,棕米,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-C3501,120,香棕,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-C3501,180,香棕,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-C3501,280,香棕,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R1501,120,糖果粉,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R1501,180,糖果粉,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R1501,280,糖果粉,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R2201,120,西柚红,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R2201,180,西柚红,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R2201,280,西柚红,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-H3601,120,深灰,787,1092,5.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-H3601,180,深灰,787,1092,8.1,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-H3601,280,深灰,787,1092,12.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-C0401,120,深棕,787,1092,5.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-C0401,180,深棕,787,1092,8.1,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-C0401,280,深棕,787,1092,12.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R2301,120,石榴红,787,1092,5.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R2301,180,石榴红,787,1092,8.1,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R2301,280,石榴红,787,1092,12.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G1001,120,缇芙蓝,787,1092,5.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G1001,180,缇芙蓝,787,1092,8.1,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G1001,280,缇芙蓝,787,1092,11.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-P0201,120,粉紫,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-P0201,180,粉紫,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-P0201,280,粉紫,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-B0501,120,天蓝,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-B0501,180,天蓝,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-B0501,280,天蓝,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-B2201,120,知更鸟蓝,787,1092,6.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-B2201,180,知更鸟蓝,787,1092,9.3,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-B2201,280,知更鸟蓝,787,1092,13.8,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-B1101,120,仙蓝,787,1092,5.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-B1101,180,仙蓝,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-B1101,280,仙蓝,787,1092,12.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G0801,120,糖果绿,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G0801,180,糖果绿,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G0801,280,糖果绿,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G1601,120,嫩绿,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G1601,180,嫩绿,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G1601,280,嫩绿,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G0501,120,草绿,787,1092,6.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G0501,180,草绿,787,1092,8.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G0501,280,草绿,787,1092,13.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-H4401,120,莫兰迪米,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-H4401,180,莫兰迪米,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-H4401,280,莫兰迪米,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-Y1701,120,鹅蛋黄,787,1092,5.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-Y1701,180,鹅蛋黄,787,1092,8.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-Y1701,280,鹅蛋黄,787,1092,12.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-P0301,120,尚紫,787,1092,5.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-P0301,180,尚紫,787,1092,8.1,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-P0301,280,尚紫,787,1092,12.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G1501,120,孔雀蓝,787,1092,6.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G1501,180,孔雀蓝,787,1092,9.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G1501,280,孔雀蓝,787,1092,14.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-Y1901,120,茶黄,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-Y1901,180,茶黄,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-Y1901,280,茶黄,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G1201,120,茶青,787,1092,5.2,,,,,,1,,,,,
色域系列,新渲染色咭,A3313-180-G1201,180,茶青,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G1201,280,茶青,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G1301,120,茶绿,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G1301,180,茶绿,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G1301,280,茶绿,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-C3601,120,咖啡,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-C3601,180,咖啡,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-C3601,280,咖啡,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R2801,120,热情红,787,1092,6.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R2801,180,热情红,787,1092,8.8,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R2801,280,热情红,787,1092,13.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R0401,120,大红,787,1092,5.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R0401,180,大红,787,1092,8.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R0401,280,大红,787,1092,12.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R0801,120,深红,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R0801,180,深红,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R0801,280,深红,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-C0601,120,红咖,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-C0601,180,红咖,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-C0601,280,红咖,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-Y0401,120,橘红,787,1092,7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-Y0401,180,橘红,787,1092,9.3,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-Y0401,280,橘红,787,1092,15,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-B1401,120,新宝蓝,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-B1401,180,新宝蓝,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-B1401,280,新宝蓝,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G0401,120,新绿,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G0401,180,新绿,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G0401,280,新绿,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G1401,120,青棕,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G1401,180,青棕,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G1401,280,青棕,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-K0901,120,格黑,787,1092,6.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-K0901,180,格黑,787,1092,9.3,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-K0901,280,格黑,787,1092,13.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-C2101,120,巧克力,787,1092,5.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-C2101,180,巧克力,787,1092,8.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-C2101,280,巧克力,787,1092,13.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R0701,120,酒红,787,1092,6.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R0701,180,酒红,787,1092,9.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R0701,280,酒红,787,1092,13.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-R0101,120,紫红,787,1092,6.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-R0101,180,紫红,787,1092,9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-R0101,280,紫红,787,1092,13.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-P0401,120,魅紫,787,1092,5.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-P0401,180,魅紫,787,1092,8.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-P0401,280,魅紫,787,1092,13.8,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-B0601,120,靛蓝,787,1092,6.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-B0601,180,靛蓝,787,1092,9.3,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-B0601,280,靛蓝,787,1092,14.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G0101,120,孔雀绿,787,1092,6.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G0101,180,孔雀绿,787,1092,9.3,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G0101,280,孔雀绿,787,1092,13.9,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-G2001,120,墨绿,787,1092,6.5,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-G2001,180,墨绿,787,1092,9.3,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-G2001,280,墨绿,787,1092,13.9,,,,,,,,,,,
色域系列,新摩登,A3301-120-W0401,120,暖白,787,1092,4.1,,,,,,,,,,,
色域系列,新摩登,A3301-270-W0401,270,暖白,787,1092,9.3,,,,,,,,,,,
色域系列,新摩登,A3301-120-H4301,120,英伦灰,787,1092,4.4,,,,,,,,,,,
色域系列,新摩登,A3301-270-H4301,270,英伦灰,787,1092,9.9,,,,,,,,,,,
色域系列,新摩登,A3301-120-K0201,120,格黑,787,1092,5.4,,,,,,,,,,,
色域系列,新摩登,A3301-270-K0201,270,格黑,787,1092,12.2,,,,,,,,,,,
色域系列,新摩登,A3301-120-H4401,120,莫兰迪米,787,1092,4.4,,,,,,,,,,,
色域系列,新摩登,A3301-270-H4401,270,莫兰迪米,787,1092,9.9,,,,,,,,,,,
色域系列,新摩登,A3301-120-G1401,120,青棕,787,1092,4.9,,,,,,,,,,,
色域系列,新摩登,A3301-270-G1401,270,青棕,787,1092,11,,,,,,,,,,,
色域系列,新摩登,A3301-120-C3601,120,咖啡,787,1092,4.6,,,,,,,,,,,
色域系列,新摩登,A3301-270-C3601,270,咖啡,787,1092,10.4,,,,,,,,,,,
色域系列,新摩登,A3301-120-R2201,120,西柚红,787,1092,4.4,,,,,,,,,,,
色域系列,新摩登,A3301-270-R2201,270,西柚红,787,1092,9.9,,,,,,,,,,,
色域系列,新摩登,A3301-120-R2301,120,石榴红,787,1092,4.6,,,,,,,,,,,
色域系列,新摩登,A3301-270-R2301,270,石榴红,787,1092,10.4,,,,,,,,,,,
色域系列,新摩登,A3301-120-R0801,120,朱红,787,1092,4.9,,,,,,,,,,,
色域系列,新摩登,A3301-270-R0801,270,朱红,787,1092,11,,,,,,,,,,,
色域系列,新摩登,A3301-120-B2201,120,知更鸟蓝,787,1092,4.6,,,,,,,,,,,
色域系列,新摩登,A3301-270-B2201,270,知更鸟蓝,787,1092,10.4,,,,,,,,,,,
色域系列,新摩登,A3301-120-G1501,120,孔雀蓝,787,1092,4.9,,,,,,,,,,,
色域系列,新摩登,A3301-270-G1501,270,孔雀蓝,787,1092,11,,,,,,,,,,,
色域系列,新摩登,A3301-120-B0601,120,深蓝,787,1092,4.9,,,,,,,,,,,
色域系列,新摩登,A3301-270-B0601,270,深蓝,787,1092,11,,,,,,,,,,,
色域系列,新年轮,A3302-120-W0201,120,超白,787,1092,4.1,,,,,,,,,,,
色域系列,新年轮,A3302-270-W0201,270,超白,787,1092,9.3,,,,,,,,,,,
色域系列,新年轮,A3302-120-H3201,120,高级灰,787,1092,4.4,,,,,,,,,,,
色域系列,新年轮,A3302-270-H3201,270,高级灰,787,1092,9.9,,,,,,,,,,,
色域系列,新年轮,A3302-120-H3601,120,深灰,787,1092,4.6,,,,,,,,,,,
色域系列,新年轮,A3302-270-H3601,270,深灰,787,1092,10.4,,,,,,,,,,,
色域系列,新年轮,A3302-120-K0201,120,格黑,787,1092,5.4,,,,,,,,,,,
色域系列,新年轮,A3302-270-K0201,270,格黑,787,1092,12.2,,,,,,,,,,,
色域系列,新年轮,A3302-120-Y0101,120,米黄,787,1092,4.4,,,,,,,,,,,
色域系列,新年轮,A3302-270-Y0101,270,米黄,787,1092,9.9,,,,,,,,,,,
色域系列,新年轮,A3302-120-C0101,120,棕米,787,1092,4.4,,,,,,,,,,,
色域系列,新年轮,A3302-270-C0101,270,棕米,787,1092,9.9,,,,,,,,,,,
色域系列,新年轮,A3302-120-C3501,120,卡其,787,1092,4.4,,,,,,,,,,,
色域系列,新年轮,A3302-270-C3501,270,卡其,787,1092,9.9,,,,,,,,,,,
色域系列,新年轮,A3302-120-C0401,120,深棕,787,1092,4.6,,,,,,,,,,,
色域系列,新年轮,A3302-270-C0401,270,深棕,787,1092,10.4,,,,,,,,,,,
色域系列,新年轮,A3302-120-C2101,120,巧克力,787,1092,4.9,,,,,,,,,,,
色域系列,新年轮,A3302-270-C2101,270,巧克力,787,1092,11,,,,,,,,,,,
色域系列,新年轮,A3302-120-G1601,120,嫩绿,787,1092,4.6,,,,,,,,,,,
色域系列,新年轮,A3302-270-G1601,270,嫩绿,787,1092,10.4,,,,,,,,,,,
色域系列,新年轮,A3302-120-G1301,120,茶绿,787,1092,4.6,,,,,,,,,,,
色域系列,新年轮,A3302-270-G1301,270,茶绿,787,1092,10.4,,,,,,,,,,,
色域系列,新年轮,A3302-120-G1401,120,青棕,787,1092,4.9,,,,,,,,,,,
色域系列,新年轮,A3302-270-G1401,270,青棕,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-W0201,120,白色,787,1092,4.1,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-W0201,170,白色,787,1092,5.8,,,,,,,,,,,
色域系列,彩色皇朝,A3315-220-W0201,220,白色,787,1092,7.6,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-W0201,270,白色,787,1092,9.3,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-H3601,120,深灰,787,1092,4.6,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-H3601,170,深灰,787,1092,6.6,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-H3601,270,深灰,787,1092,10.4,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-K0201,120,黑色,787,1092,5.4,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-K0201,170,黑色,787,1092,7.7,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-K0201,270,黑色,787,1092,12.2,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-Y0101,120,米黄,787,1092,4.4,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-Y0101,170,米黄,787,1092,6.2,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-Y0101,270,米黄,787,1092,9.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-C0401,120,深棕,787,1092,4.6,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-C0401,270,深棕,787,1092,10.4,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-C0601,120,咖啡,787,1092,4.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-C0601,170,咖啡,787,1092,6.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-C0601,270,咖啡,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-Y0401,120,橙色,787,1092,4.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-Y0401,270,橙色,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-R1601,120,大红,787,1092,4.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-R1601,270,大红,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-R0801,120,深红,787,1092,4.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-R0801,170,深红,787,1092,6.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-R0801,270,深红,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-B0601,120,深蓝,787,1092,4.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-170-B0601,170,深蓝,787,1092,6.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-B0601,270,深蓝,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-G0601,120,草绿,787,1092,4.9,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-G0601,270,草绿,787,1092,11,,,,,,,,,,,
色域系列,彩色皇朝,A3315-120-G0101,120,墨绿,787,1092,5.2,,,,,,,,,,,
色域系列,彩色皇朝,A3315-270-G0101,270,墨绿,787,1092,11.6,,,,,,,,,,,
色域系列,隐茶,A3321-120-W1801,120,茶白,787,1092,4.1,,,,,,,,,,,
色域系列,隐茶,A3321-170-W1801,170,茶白,787,1092,5.8,,,,,,,,,,,
色域系列,隐茶,A3321-270-W1801,270,茶白,787,1092,9.3,,,,,,,,,,,
色域系列,隐茶,A3321-120-Y1901,120,茶黄,787,1092,4.6,,,,,,,,,,,
色域系列,隐茶,A3321-170-Y1901,170,茶黄,787,1092,6.6,,,,,,,,,,,
色域系列,隐茶,A3321-270-Y1901,270,茶黄,787,1092,10.4,,,,,,,,,,,
色域系列,隐茶,A3321-120-G1201,120,茶青,787,1092,4.6,,,,,,,,,,,
色域系列,隐茶,A3321-170-G1201,170,茶青,787,1092,6.6,,,,,,,,,,,
色域系列,隐茶,A3321-270-G1201,270,茶青,787,1092,10.4,,,,,,,,,,,
色域系列,隐茶,A3321-120-G1301,120,茶绿,787,1092,4.9,,,,,,,,,,,
色域系列,隐茶,A3321-170-G1301,170,茶绿,787,1092,6.9,,,,,,,,,,,
色域系列,隐茶,A3321-270-G1301,270,茶绿,787,1092,11,,,,,,,,,,,
色域系列,隐茶,A3321-120-R2801,120,茶红,787,1092,4.9,,,,,,,,,,,
色域系列,隐茶,A3321-170-R2801,170,茶红,787,1092,6.9,,,,,,,,,,,
色域系列,隐茶,A3321-270-R2801,270,茶红,787,1092,11,,,,,,,,,,,
色域系列,隐茶,A3321-120-K0201,120,茶黑,787,1092,5.4,,,,,,,,,,,
色域系列,隐茶,A3321-170-K0201,170,茶黑,787,1092,7.7,,,,,,,,,,,
色域系列,隐茶,A3321-270-K0201,270,茶黑,787,1092,12.2,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-W0401,120,暖白,787,1092,4.1,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-W0401,270,暖白,787,1092,9.3,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-H2501,120,浅灰,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-H2501,270,浅灰,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-H3601,120,深灰,787,1092,4.6,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-H3601,270,深灰,787,1092,10.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-K0201,120,格黑,787,1092,5.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-K0201,270,格黑,787,1092,12.2,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-Y0101,120,米黄,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-Y0101,270,米黄,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-C0101,120,棕米,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-C0101,270,棕米,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-C3501,120,浅棕,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-C3501,270,浅棕,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-C3601,120,咖啡,787,1092,4.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-C3601,270,咖啡,787,1092,11,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-P0201,120,粉紫,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-P0201,270,粉紫,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-P0301,120,尚紫,787,1092,4.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-P0301,270,尚紫,787,1092,11,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-P0401,120,魅紫,787,1092,5.2,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-P0401,270,魅紫,787,1092,11.6,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-B0501,120,天蓝,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-B0501,270,天蓝,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-B1101,120,仙蓝,787,1092,4.6,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-B1101,270,仙蓝,787,1092,10.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-B0601,120,深蓝,787,1092,5.2,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-B0601,270,深蓝,787,1092,11.6,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-R1501,120,糖果粉,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-R1501,270,糖果粉,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-Y0401,120,橙色,787,1092,4.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-Y0401,270,橙色,787,1092,11,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-R1601,120,大红,787,1092,4.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-R1601,270,大红,787,1092,11,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-R0701,120,酒红,787,1092,5.2,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-R0701,270,酒红,787,1092,11.6,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-Y1701,120,鹅蛋黄,787,1092,4.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-Y1701,270,鹅蛋黄,787,1092,11,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-G0801,120,糖果绿,787,1092,4.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-G0801,270,糖果绿,787,1092,9.9,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-G0401,120,新绿,787,1092,4.6,,,,,,,,,,,
色域系列,彩砂纹,A3314-270-G0401,270,新绿,787,1092,10.4,,,,,,,,,,,
色域系列,彩砂纹,A3314-120-G0601,120,草绿,787,1092,4.9,,,,,,,,,,,
